scenario_id,scenario_name,stratum,capacity,regime,dose_id,dose_index,scheduled,leans_not_h_rate,unresolved_rate,leans_h_rate,unusable_rate
R01-FD-01,Cedar Ridge,7B-D,7B,D,STRONG_AGAINST,1,32,0.5,0,0.5,0
R01-FD-01,Cedar Ridge,7B-D,7B,D,WEAK_AGAINST,2,32,0,0,1,0
R01-FD-01,Cedar Ridge,7B-D,7B,D,BASELINE,3,32,0,1,0,0
R01-FD-01,Cedar Ridge,7B-D,7B,D,WEAK_TOWARD,4,32,0,0,1,0
R01-FD-01,Cedar Ridge,7B-D,7B,D,STRONG_TOWARD,5,32,0,0,1,0
R01-FD-01,Cedar Ridge,7B-S,7B,S,STRONG_AGAINST,1,128,0.5,0,0.5,0
R01-FD-01,Cedar Ridge,7B-S,7B,S,WEAK_AGAINST,2,128,0.0859375,0,0.9140625,0
R01-FD-01,Cedar Ridge,7B-S,7B,S,BASELINE,3,128,0,1,0,0
R01-FD-01,Cedar Ridge,7B-S,7B,S,WEAK_TOWARD,4,128,0,0,1,0
R01-FD-01,Cedar Ridge,7B-S,7B,S,STRONG_TOWARD,5,128,0,0,1,0
R01-FD-01,Cedar Ridge,14B-D,14B,D,STRONG_AGAINST,1,32,1,0,0,0
R01-FD-01,Cedar Ridge,14B-D,14B,D,WEAK_AGAINST,2,32,0,0.5,0,0.5
R01-FD-01,Cedar Ridge,14B-D,14B,D,BASELINE,3,32,0,1,0,0
R01-FD-01,Cedar Ridge,14B-D,14B,D,WEAK_TOWARD,4,32,0,1,0,0
R01-FD-01,Cedar Ridge,14B-D,14B,D,STRONG_TOWARD,5,32,0,0.0625,0.09375,0.84375
R01-FD-01,Cedar Ridge,14B-S,14B,S,STRONG_AGAINST,1,128,1,0,0,0
R01-FD-01,Cedar Ridge,14B-S,14B,S,WEAK_AGAINST,2,128,0,0.484375,0,0.515625
R01-FD-01,Cedar Ridge,14B-S,14B,S,BASELINE,3,128,0,1,0,0
R01-FD-01,Cedar Ridge,14B-S,14B,S,WEAK_TOWARD,4,128,0,1,0,0
R01-FD-01,Cedar Ridge,14B-S,14B,S,STRONG_TOWARD,5,128,0,0.1171875,0.2421875,0.640625
R01-FD-02,Morrow Basin,7B-D,7B,D,STRONG_AGAINST,1,32,0,0,1,0
R01-FD-02,Morrow Basin,7B-D,7B,D,WEAK_AGAINST,2,32,0,0,1,0
R01-FD-02,Morrow Basin,7B-D,7B,D,BASELINE,3,32,0,1,0,0
R01-FD-02,Morrow Basin,7B-D,7B,D,WEAK_TOWARD,4,32,0,0.46875,0.53125,0
R01-FD-02,Morrow Basin,7B-D,7B,D,STRONG_TOWARD,5,32,0,0,1,0
R01-FD-02,Morrow Basin,7B-S,7B,S,STRONG_AGAINST,1,128,0,0,1,0
R01-FD-02,Morrow Basin,7B-S,7B,S,WEAK_AGAINST,2,128,0,0,1,0
R01-FD-02,Morrow Basin,7B-S,7B,S,BASELINE,3,128,0,1,0,0
R01-FD-02,Morrow Basin,7B-S,7B,S,WEAK_TOWARD,4,128,0.0546875,0.4375,0.5078125,0
R01-FD-02,Morrow Basin,7B-S,7B,S,STRONG_TOWARD,5,128,0,0,1,0
R01-FD-02,Morrow Basin,14B-D,14B,D,STRONG_AGAINST,1,32,1,0,0,0
R01-FD-02,Morrow Basin,14B-D,14B,D,WEAK_AGAINST,2,32,0,1,0,0
R01-FD-02,Morrow Basin,14B-D,14B,D,BASELINE,3,32,0,1,0,0
R01-FD-02,Morrow Basin,14B-D,14B,D,WEAK_TOWARD,4,32,0,1,0,0
R01-FD-02,Morrow Basin,14B-D,14B,D,STRONG_TOWARD,5,32,0,0.03125,0.5,0.46875
R01-FD-02,Morrow Basin,14B-S,14B,S,STRONG_AGAINST,1,128,1,0,0,0
R01-FD-02,Morrow Basin,14B-S,14B,S,WEAK_AGAINST,2,128,0,1,0,0
R01-FD-02,Morrow Basin,14B-S,14B,S,BASELINE,3,128,0,1,0,0
R01-FD-02,Morrow Basin,14B-S,14B,S,WEAK_TOWARD,4,128,0,0.9296875,0,0.0703125
R01-FD-02,Morrow Basin,14B-S,14B,S,STRONG_TOWARD,5,128,0,0.25,0.4296875,0.3203125
R01-FD-03,Lumen,7B-D,7B,D,STRONG_AGAINST,1,32,0.5,0,0.5,0
R01-FD-03,Lumen,7B-D,7B,D,WEAK_AGAINST,2,32,0,0,1,0
R01-FD-03,Lumen,7B-D,7B,D,BASELINE,3,32,0,0,1,0
R01-FD-03,Lumen,7B-D,7B,D,WEAK_TOWARD,4,32,0,0,1,0
R01-FD-03,Lumen,7B-D,7B,D,STRONG_TOWARD,5,32,0,0,1,0
R01-FD-03,Lumen,7B-S,7B,S,STRONG_AGAINST,1,128,0.5,0,0.5,0
R01-FD-03,Lumen,7B-S,7B,S,WEAK_AGAINST,2,128,0.0078125,0,0.9921875,0
R01-FD-03,Lumen,7B-S,7B,S,BASELINE,3,128,0,0,1,0
R01-FD-03,Lumen,7B-S,7B,S,WEAK_TOWARD,4,128,0,0,1,0
R01-FD-03,Lumen,7B-S,7B,S,STRONG_TOWARD,5,128,0,0,1,0
R01-FD-03,Lumen,14B-D,14B,D,STRONG_AGAINST,1,32,1,0,0,0
R01-FD-03,Lumen,14B-D,14B,D,WEAK_AGAINST,2,32,0,1,0,0
R01-FD-03,Lumen,14B-D,14B,D,BASELINE,3,32,0,1,0,0
R01-FD-03,Lumen,14B-D,14B,D,WEAK_TOWARD,4,32,0,1,0,0
