scenario_id,scenario_name,dose_id,dose_index,stratum,capacity,regime,diff_leans_not_h,diff_unresolved,diff_leans_h,diff_unusable,max_abs_primary_difference,nonzero
R01-FD-01,Cedar Ridge,STRONG_AGAINST,1,7B-D,7B,D,1,0,-1,0,1,1
R01-FD-01,Cedar Ridge,STRONG_AGAINST,1,7B-S,7B,S,1,0,-1,0,1,1
R01-FD-01,Cedar Ridge,STRONG_AGAINST,1,14B-D,14B,D,0,0,0,0,0,0
R01-FD-01,Cedar Ridge,STRONG_AGAINST,1,14B-S,14B,S,0,0,0,0,0,0
R01-FD-01,Cedar Ridge,WEAK_AGAINST,2,7B-D,7B,D,0,0,0,0,0,0
R01-FD-01,Cedar Ridge,WEAK_AGAINST,2,7B-S,7B,S,-0.171875,0,0.171875,0,0.171875,1
R01-FD-01,Cedar Ridge,WEAK_AGAINST,2,14B-D,14B,D,0,-1,0,1,1,1
R01-FD-01,Cedar Ridge,WEAK_AGAINST,2,14B-S,14B,S,0,-0.75,0,0.75,0.75,1
R01-FD-01,Cedar Ridge,BASELINE,3,7B-D,7B,D,0,0,0,0,0,0
R01-FD-01,Cedar Ridge,BASELINE,3,7B-S,7B,S,0,0,0,0,0,0
R01-FD-01,Cedar Ridge,BASELINE,3,14B-D,14B,D,0,0,0,0,0,0
R01-FD-01,Cedar Ridge,BASELINE,3,14B-S,14B,S,0,0,0,0,0,0
R01-FD-01,Cedar Ridge,WEAK_TOWARD,4,7B-D,7B,D,0,0,0,0,0,0
R01-FD-01,Cedar Ridge,WEAK_TOWARD,4,7B-S,7B,S,0,0,0,0,0,0
R01-FD-01,Cedar Ridge,WEAK_TOWARD,4,14B-D,14B,D,0,0,0,0,0,0
R01-FD-01,Cedar Ridge,WEAK_TOWARD,4,14B-S,14B,S,0,0,0,0,0,0
R01-FD-01,Cedar Ridge,STRONG_TOWARD,5,7B-D,7B,D,0,0,0,0,0,0
R01-FD-01,Cedar Ridge,STRONG_TOWARD,5,7B-S,7B,S,0,0,0,0,0,0
R01-FD-01,Cedar Ridge,STRONG_TOWARD,5,14B-D,14B,D,0,-0.125,0.1875,-0.0625,0.1875,1
R01-FD-01,Cedar Ridge,STRONG_TOWARD,5,14B-S,14B,S,0,-0.203125,0.296875,-0.09375,0.296875,1
R01-FD-02,Morrow Basin,STRONG_AGAINST,1,7B-D,7B,D,0,0,0,0,0,0
R01-FD-02,Morrow Basin,STRONG_AGAINST,1,7B-S,7B,S,0,0,0,0,0,0
R01-FD-02,Morrow Basin,STRONG_AGAINST,1,14B-D,14B,D,0,0,0,0,0,0
R01-FD-02,Morrow Basin,STRONG_AGAINST,1,14B-S,14B,S,0,0,0,0,0,0
R01-FD-02,Morrow Basin,WEAK_AGAINST,2,7B-D,7B,D,0,0,0,0,0,0
R01-FD-02,Morrow Basin,WEAK_AGAINST,2,7B-S,7B,S,0,0,0,0,0,0
R01-FD-02,Morrow Basin,WEAK_AGAINST,2,14B-D,14B,D,0,0,0,0,0,0
R01-FD-02,Morrow Basin,WEAK_AGAINST,2,14B-S,14B,S,0,0,0,0,0,0
R01-FD-02,Morrow Basin,BASELINE,3,7B-D,7B,D,0,0,0,0,0,0
R01-FD-02,Morrow Basin,BASELINE,3,7B-S,7B,S,0,0,0,0,0,0
R01-FD-02,Morrow Basin,BASELINE,3,14B-D,14B,D,0,0,0,0,0,0
R01-FD-02,Morrow Basin,BASELINE,3,14B-S,14B,S,0,0,0,0,0,0
R01-FD-02,Morrow Basin,WEAK_TOWARD,4,7B-D,7B,D,0,-0.9375,0.9375,0,0.9375,1
R01-FD-02,Morrow Basin,WEAK_TOWARD,4,7B-S,7B,S,-0.109375,-0.65625,0.765625,0,0.765625,1
R01-FD-02,Morrow Basin,WEAK_TOWARD,4,14B-D,14B,D,0,0,0,0,0,0
R01-FD-02,Morrow Basin,WEAK_TOWARD,4,14B-S,14B,S,0,0.140625,0,-0.140625,0.140625,1
R01-FD-02,Morrow Basin,STRONG_TOWARD,5,7B-D,7B,D,0,0,0,0,0,0
R01-FD-02,Morrow Basin,STRONG_TOWARD,5,7B-S,7B,S,0,0,0,0,0,0
R01-FD-02,Morrow Basin,STRONG_TOWARD,5,14B-D,14B,D,0,0.0625,-1,0.9375,1,1
R01-FD-02,Morrow Basin,STRONG_TOWARD,5,14B-S,14B,S,0,0.21875,-0.859375,0.640625,0.859375,1
R01-FD-03,Lumen,STRONG_AGAINST,1,7B-D,7B,D,1,0,-1,0,1,1
R01-FD-03,Lumen,STRONG_AGAINST,1,7B-S,7B,S,1,0,-1,0,1,1
R01-FD-03,Lumen,STRONG_AGAINST,1,14B-D,14B,D,0,0,0,0,0,0
R01-FD-03,Lumen,STRONG_AGAINST,1,14B-S,14B,S,0,0,0,0,0,0
R01-FD-03,Lumen,WEAK_AGAINST,2,7B-D,7B,D,0,0,0,0,0,0
R01-FD-03,Lumen,WEAK_AGAINST,2,7B-S,7B,S,0.015625,0,-0.015625,0,0.015625,1
R01-FD-03,Lumen,WEAK_AGAINST,2,14B-D,14B,D,0,0,0,0,0,0
R01-FD-03,Lumen,WEAK_AGAINST,2,14B-S,14B,S,0,0,0,0,0,0
R01-FD-03,Lumen,BASELINE,3,7B-D,7B,D,0,0,0,0,0,0
R01-FD-03,Lumen,BASELINE,3,7B-S,7B,S,0,0,0,0,0,0
R01-FD-03,Lumen,BASELINE,3,14B-D,14B,D,0,0,0,0,0,0
R01-FD-03,Lumen,BASELINE,3,14B-S,14B,S,0,0,0,0,0,0
R01-FD-03,Lumen,WEAK_TOWARD,4,7B-D,7B,D,0,0,0,0,0,0
R01-FD-03,Lumen,WEAK_TOWARD,4,7B-S,7B,S,0,0,0,0,0,0
R01-FD-03,Lumen,WEAK_TOWARD,4,14B-D,14B,D,0,0,0,0,0,0
R01-FD-03,Lumen,WEAK_TOWARD,4,14B-S,14B,S,0,0,0,0,0,0
R01-FD-03,Lumen,STRONG_TOWARD,5,7B-D,7B,D,0,0,0,0,0,0
R01-FD-03,Lumen,STRONG_TOWARD,5,7B-S,7B,S,0,0,0,0,0,0
R01-FD-03,Lumen,STRONG_TOWARD,5,14B-D,14B,D,0,-1,1,0,1,1
R01-FD-03,Lumen,STRONG_TOWARD,5,14B-S,14B,S,0,-1,1,0,1,1
